timestamp,332B
1500618749.484,9999044.6
1500618752.830,9999046.4
1500618756.175,9999045.4
1500618759.521,9999044.6
1500618762.866,9999044.9
1500618766.212,9999045.7
1500618769.557,9999046.2
1500618772.902,9999047.9
1500618776.248,9999047.2
1500618779.593,9999048.2
1500618782.939,9999048.7
1500618786.284,9999048.5
1500618789.629,9999048.2
1500618792.975,9999047.9
1500618796.320,9999046.9
1500618799.666,9999046.2
1500618803.011,9999049.7
1500618806.357,9999048.5
1500618809.702,9999047.7
1500618813.047,9999048.7
1500618816.393,9999046.4
1500618819.738,9999049.7
1500618823.084,9999050.2
1500618826.429,9999048.2
1500618829.774,9999048.2
1500618833.120,9999048.5
1500618836.465,9999046.7
1500618839.811,9999049.0
1500618843.156,9999047.7
1500618846.502,9999049.0
1500618849.847,9999049.2
1500618853.192,9999049.5
1500618856.538,9999049.5
1500618859.883,9999049.2
1500618863.229,9999049.7
1500618866.574,9999049.0
1500618869.919,9999049.0
1500618873.265,9999049.5
1500618876.610,9999048.7
1500618879.956,9999048.5
1500618883.301,9999049.0
1500618886.647,9999047.9
1500618889.992,9999050.2
1500618893.337,9999050.0
1500618896.683,9999051.5
1500618900.028,9999051.7
1500618903.373,9999050.5
1500618906.719,9999049.5
1500618910.064,9999050.0
1500618913.410,9999051.2
1500618916.755,9999050.5
1500618920.101,9999049.7
1500618923.446,9999050.5
1500618926.792,9999050.2
1500618930.137,9999052.0
1500618933.482,9999049.7
1500618936.828,9999050.2
1500618940.173,9999047.4
1500618943.518,9999048.2
1500618946.864,9999047.2
1500618950.209,9999045.9
1500618953.555,9999048.7
1500618956.900,9999047.7
1500618960.246,9999046.4
1500618963.591,9999047.2
1500618966.936,9999048.2
1500618970.282,9999047.7
1500618973.627,9999047.4
1500618976.973,9999046.2
1500618980.318,9999047.4
1500618983.663,9999047.7
1500618987.009,9999046.9
1500618990.354,9999047.2
1500618993.700,9999045.9
1500618997.045,9999045.4
1500619000.390,9999045.2
1500619003.736,9999044.6
1500619007.081,9999044.1
1500619010.427,9999045.2
1500619013.772,9999045.4
1500619017.118,9999045.7
1500619020.463,9999045.7
1500619023.808,9999046.9
1500619027.154,9999046.4
1500619030.499,9999047.7
1500619033.845,9999048.2
1500619037.190,9999045.7
1500619040.536,9999046.4
1500619043.881,9999045.2
1500619047.226,9999047.4
1500619050.572,9999045.4
1500619053.917,9999045.7
1500619057.263,9999046.2
1500619060.608,9999046.4
1500619063.953,9999047.4
1500619067.299,9999045.4
1500619070.644,9999045.9
1500619073.990,9999047.2
1500619077.335,9999046.7
1500619080.680,9999046.7
1500619084.026,9999044.9
1500619087.371,9999044.4
1500619090.717,9999046.2
1500619094.062,9999044.9
1500619097.408,9999045.9
1500619100.753,9999046.4
1500619104.098,9999046.7
1500619107.444,9999046.7
1500619110.789,9999048.5
1500619114.135,9999048.7
1500619117.480,9999049.5
1500619120.825,9999049.7
1500619124.171,9999049.7
1500619127.516,9999051.0
1500619130.862,9999049.0
1500619134.207,9999049.0
1500619137.553,9999049.5
1500619140.898,9999049.0
1500619144.243,9999048.2
1500619147.589,9999049.0
