timestamp,lm399,temp_c,humidity
1516253311.6,6.885839,7.702,73.033
1516253314.6,6.885832,7.670,73.033
1516253317.6,6.885832,7.680,73.002
1516253321.6,6.885832,7.712,72.987
1516253324.6,6.885832,7.691,72.987
1516253327.6,6.885831,7.702,72.949
1516253331.6,6.885832,7.691,72.926
1516253334.6,6.885832,7.691,72.918
1516253338.6,6.885831,7.691,72.911
1516253341.6,6.885834,7.702,72.880
1516253344.6,6.885835,7.702,72.880
1516253348.59,6.885835,7.702,72.842
1516253351.59,6.885836,7.712,72.827
1516253354.6,6.885833,7.723,72.835
1516253358.59,6.885832,7.723,72.796
1516253361.59,6.885831,7.723,72.773
1516253364.59,6.885834,7.712,72.773
1516253368.59,6.885833,7.744,72.743
1516253371.59,6.885832,7.744,72.720
1516253374.59,6.885829,7.744,72.697
1516253378.59,6.885830,7.755,72.674
1516253381.59,6.885830,7.712,72.659
1516253384.59,6.885830,7.734,72.651
1516253388.59,6.885830,7.734,72.636
1516253391.59,6.885830,7.744,72.606
1516253395.58,6.885829,7.744,72.621
1516253398.58,6.885831,7.777,72.606
1516253401.58,6.885829,7.723,72.590
1516253405.58,6.885828,7.744,72.575
1516253408.58,6.885828,7.734,72.568
1516253411.58,6.885829,7.744,72.560
1516253415.58,6.885829,7.766,72.552
1516253418.58,6.885829,7.766,72.545
1516253421.58,6.885827,7.766,72.529
1516253425.58,6.885827,7.777,72.514
1516253428.58,6.885827,7.755,72.506
1516253431.58,6.885826,7.766,72.468
1516253435.58,6.885828,7.787,72.491
1516253438.57,6.885826,7.755,72.476
1516253441.57,6.885828,7.777,72.476
1516253445.58,6.885825,7.787,72.453
1516253448.57,6.885825,7.787,72.453
1516253452.57,6.885824,7.777,72.430
1516253455.57,6.885825,7.766,72.407
1516253458.57,6.885826,7.787,72.400
1516253462.57,6.885824,7.787,72.415
1516253465.57,6.885825,7.798,72.369
1516253468.57,6.885826,7.798,72.369
1516253472.57,6.885825,7.798,72.346
1516253475.57,6.885825,7.798,72.346
1516253478.57,6.885825,7.798,72.346
1516253482.57,6.885829,7.809,72.323
1516253485.56,6.885828,7.809,72.316
1516253488.56,6.885826,7.809,72.316
1516253492.56,6.885828,7.819,72.316
1516253495.56,6.885827,7.798,72.293
1516253498.56,6.885828,7.809,72.278
1516253502.56,6.885832,7.809,72.293
1516253505.56,6.885831,7.841,72.270
1516253509.56,6.885825,7.851,72.270
1516253512.56,6.885825,7.809,72.224
1516253515.56,6.885825,7.841,72.232
1516253519.56,6.885823,7.830,72.194
1516253522.56,6.885823,7.830,72.186
1516253525.56,6.885824,7.851,72.194
1516253529.55,6.885824,7.851,72.163
