timestamp,lm399-cotton-rounds
1514608737.880,6885964.5
1514608741.232,6885965.0
1514608744.584,6885962.5
1514608747.936,6885961.2
1514608751.288,6885962.5
1514608754.640,6885962.5
1514608757.993,6885962.2
1514608761.344,6885961.2
1514608764.697,6885962.5
1514608768.048,6885962.5
1514608771.401,6885960.7
1514608774.753,6885962.0
1514608778.105,6885961.7
1514608781.457,6885961.2
1514608784.809,6885961.7
1514608788.162,6885962.2
1514608791.513,6885961.7
1514608794.865,6885961.5
1514608798.218,6885959.7
1514608801.569,6885960.4
1514608804.922,6885961.5
1514608808.274,6885961.5
1514608811.626,6885962.0
1514608814.978,6885961.7
1514608818.330,6885961.7
1514608821.682,6885961.7
1514608825.035,6885961.7
1514608828.386,6885960.7
1514608831.739,6885962.0
1514608835.091,6885961.5
1514608838.443,6885963.0
1514608841.795,6885964.0
1514608845.148,6885964.7
1514608848.499,6885964.0
1514608851.852,6885965.3
1514608855.204,6885964.2
1514608858.556,6885964.5
1514608861.908,6885965.0
1514608865.260,6885963.7
1514608868.612,6885964.2
1514608871.965,6885963.7
1514608875.316,6885963.0
1514608878.669,6885963.7
1514608882.020,6885965.0
1514608885.373,6885964.0
1514608888.725,6885964.0
1514608892.077,6885963.2
1514608895.429,6885962.5
1514608898.781,6885963.0
1514608902.133,6885961.7
1514608905.486,6885960.4
1514608908.837,6885961.5
1514608912.190,6885961.2
1514608915.542,6885962.0
1514608918.894,6885960.9
1514608922.246,6885962.0
1514608925.599,6885960.7
1514608928.950,6885961.7
1514608932.303,6885962.2
1514608935.654,6885961.5
1514608939.007,6885960.4
1514608942.359,6885960.2
1514608945.711,6885961.7
1514608949.064,6885962.0
1514608952.415,6885961.5
1514608955.768,6885961.7
1514608959.119,6885960.7
1514608962.472,6885962.0
1514608965.823,6885962.0
1514608969.176,6885961.5
1514608972.527,6885962.2
1514608975.880,6885962.5
1514608979.233,6885962.0
1514608982.584,6885963.5
1514608985.937,6885963.2
1514608989.288,6885960.7
1514608992.641,6885962.7
1514608995.992,6885961.5
1514608999.345,6885962.2
1514609002.698,6885961.2
1514609006.049,6885961.5
1514609009.401,6885961.2
1514609012.754,6885960.4
1514609016.105,6885960.9
1514609019.458,6885960.2
1514609022.810,6885960.9
1514609026.162,6885962.5
1514609029.514,6885961.2
1514609032.866,6885960.4
