time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
195,30.4565,86.82171,43.3546,24.8258,76.68650,53.7839,30.444440,28.8258,1.950,196,0.0000,-0.0402,32.0000
196,30.4994,86.89893,43.3469,24.8151,76.66719,53.7992,30.455163,28.8151,1.950,196,0.0000,-0.0447,32.0000
197,30.5101,86.91824,43.3317,24.8258,76.68650,53.8068,30.464548,28.8258,1.950,196,0.0000,-0.0454,32.0000
198,30.4887,86.87963,43.3393,24.8151,76.66719,53.7763,30.472591,28.8151,1.950,196,0.0000,-0.0437,32.0000
199,30.5101,86.91824,43.3240,24.7829,76.60927,53.7763,30.480632,28.7829,1.950,196,0.0000,-0.0425,32.0000
200,30.5101,86.91824,43.3240,24.7829,76.60927,53.7916,30.488677,28.7829,1.950,196,0.0000,-0.0418,32.0000
201,30.5316,86.95684,43.3011,24.7829,76.60927,53.8068,30.496723,28.7829,1.950,196,0.0000,-0.0412,32.0000
202,30.5423,86.97615,43.3240,24.7722,76.58997,53.7992,30.506107,28.7722,1.950,196,0.0000,-0.0431,32.0000
203,30.5638,87.01477,43.3088,24.7829,76.60927,53.8068,30.519514,28.7829,1.950,196,0.0000,-0.0511,32.0000
204,30.5852,87.05337,43.2935,24.7722,76.58997,53.7916,30.530239,28.7722,1.950,196,0.0000,-0.0519,32.0000
205,30.5745,87.03408,43.2859,24.7400,76.53205,53.7839,30.538284,28.7400,1.950,196,0.0000,-0.0480,32.0000
206,30.5959,87.07268,43.2783,24.7615,76.57067,53.8068,30.551692,28.7615,1.950,196,0.0000,-0.0544,32.0000
207,30.5959,87.07268,43.2630,24.7293,76.51274,53.7992,30.562416,28.7293,1.950,196,0.0000,-0.0541,32.0000
