timestamp,ltz1000-3-to-4
1514704489.091,17518.7
1514704492.443,17518.4
1514704495.795,17519.6
1514704499.148,17519.6
1514704502.499,17519.8
1514704505.852,17519.5
1514704509.203,17519.6
1514704512.556,17519.0
1514704515.908,17519.4
1514704519.260,17519.2
1514704522.612,17519.1
1514704525.965,17519.2
1514704529.317,17519.1
1514704532.669,17520.1
1514704536.021,17519.2
1514704539.373,17518.8
1514704542.730,17518.5
1514704546.077,17518.7
1514704549.429,17518.6
1514704552.782,17518.7
1514704556.133,17518.4
1514704559.486,17519.2
1514704562.838,17518.0
1514704566.190,17519.3
1514704569.542,17518.5
1514704572.895,17518.3
1514704576.247,17518.1
1514704579.599,17518.5
1514704582.951,17518.9
1514704586.303,17518.4
1514704589.656,17518.5
1514704593.008,17519.2
1514704596.360,17518.9
1514704599.712,17519.3
1514704603.064,17518.6
1514704606.417,17518.7
1514704609.768,17518.6
1514704613.121,17518.4
1514704616.473,17518.5
1514704619.825,17518.4
1514704623.177,17519.1
1514704626.529,17519.0
1514704629.882,17519.3
1514704633.233,17519.5
1514704636.586,17519.7
1514704639.938,17519.7
1514704643.290,17519.0
1514704646.642,17519.8
1514704649.994,17520.4
1514704653.346,17519.1
1514704656.699,17519.5
1514704660.050,17519.3
1514704663.403,17519.2
1514704666.755,17519.2
1514704670.107,17518.9
1514704673.460,17519.3
1514704676.811,17519.7
1514704680.164,17520.5
1514704683.516,17520.8
1514704686.868,17521.2
1514704690.220,17520.6
1514704693.573,17520.2
1514704696.924,17521.2
1514704700.277,17520.8
1514704703.629,17520.2
1514704706.981,17521.5
1514704710.333,17521.0
1514704713.685,17520.6
1514704717.037,17520.7
1514704720.390,17520.5
1514704723.742,17520.8
1514704727.094,17520.4
1514704730.446,17521.5
1514704733.798,17521.7
1514704737.150,17519.7
1514704740.503,17521.0
1514704743.854,17521.0
