timestamp,ambient_c,ambient_rh
1521233121.40,21.459,65.346
1521233123.01,21.461,65.358
1521233124.62,21.453,65.366
1521233126.23,21.459,65.373
1521233127.84,21.453,65.377
1521233129.45,21.459,65.384
1521233131.06,21.458,65.394
1521233132.67,21.451,65.387
1521233134.28,21.451,65.402
1521233135.89,21.451,65.413
1521233137.50,21.447,65.409
1521233139.11,21.450,65.422
1521233140.73,21.442,65.435
1521233142.34,21.451,65.447
1521233143.95,21.439,65.447
1521233145.56,21.441,65.461
1521233147.17,21.443,65.468
1521233148.78,21.442,65.471
1521233150.39,21.442,65.486
1521233152.00,21.437,65.492
1521233153.61,21.445,65.495
1521233155.22,21.445,65.507
1521233156.83,21.438,65.515
1521233158.44,21.434,65.517
1521233160.05,21.439,65.510
1521233161.66,21.433,65.516
1521233163.27,21.433,65.522
1521233164.88,21.431,65.525
1521233166.50,21.433,65.526
1521233168.11,21.445,65.523
1521233169.72,21.431,65.527
1521233171.33,21.434,65.524
1521233172.94,21.431,65.522
1521233174.55,21.438,65.521
1521233176.16,21.431,65.514
1521233177.77,21.437,65.507
1521233179.38,21.433,65.503
1521233180.99,21.434,65.503
1521233182.60,21.431,65.499
1521233184.21,21.430,65.490
1521233185.82,21.433,65.484
1521233187.43,21.430,65.476
1521233189.04,21.433,65.469
1521233190.65,21.437,65.472
1521233192.27,21.430,65.465
1521233193.88,21.430,65.457
1521233195.49,21.431,65.449
1521233197.10,21.429,65.446
1521233198.71,21.434,65.440
1521233200.32,21.427,65.444
1521233201.93,21.426,65.434
1521233203.54,21.430,65.431
1521233205.15,21.431,65.424
1521233206.76,21.431,65.428
1521233208.37,21.433,65.419
1521233209.98,21.422,65.411
1521233211.59,21.431,65.404
1521233213.20,21.423,65.400
1521233214.81,21.430,65.396
1521233216.42,21.429,65.401
1521233218.03,21.427,65.393
1521233219.65,21.434,65.393
1521233221.26,21.431,65.394
1521233222.87,21.437,65.394
1521233224.48,21.438,65.395
1521233226.09,21.427,65.394
1521233227.70,21.429,65.404
1521233229.31,21.438,65.402
1521233230.92,21.435,65.420
1521233232.53,21.435,65.425
1521233234.14,21.438,65.434
1521233235.75,21.435,65.438
1521233237.36,21.427,65.449
1521233238.97,21.430,65.460
1521233240.58,21.434,65.467
1521233242.19,21.433,65.475
1521233243.80,21.429,65.486
1521233245.42,21.431,65.506
1521233247.03,21.438,65.513
1521233248.64,21.433,65.527
1521233250.25,21.434,65.522
1521233251.86,21.441,65.552
1521233253.47,21.441,65.563
1521233255.08,21.435,65.580
1521233256.69,21.431,65.589
1521233258.30,21.434,65.595
1521233259.91,21.437,65.614
1521233261.52,21.439,65.626
1521233263.13,21.437,65.636
1521233264.74,21.441,65.651
1521233266.35,21.442,65.653
